date,geography,indicator,value
1976-05,British Columbia,Population,1869.8
1976-05,British Columbia,Labour force,1152.2
1976-05,British Columbia,Employment,1048.3
1976-05,British Columbia,Full-time employment,902.9
1976-05,British Columbia,Part-time employment,145.5
1976-05,British Columbia,Unemployment,103.8
1976-05,British Columbia,Unemployment rate,9.0
1976-05,British Columbia,Participation rate,61.6
1976-05,British Columbia,Employment rate,56.1
1976-06,Canada,Population,17046.8
1976-06,Canada,Labour force,10469.6
1976-06,Canada,Employment,9748.3
1976-06,Canada,Full-time employment,8519.2
1976-06,Canada,Part-time employment,1229.1
1976-06,Canada,Unemployment,721.3
1976-06,Canada,Unemployment rate,6.9
1976-06,Canada,Participation rate,61.4
1976-06,Canada,Employment rate,57.2
1976-06,Newfoundland and Labrador,Population,370.5
1976-06,Newfoundland and Labrador,Labour force,182.5
1976-06,Newfoundland and Labrador,Employment,158.9
1976-06,Newfoundland and Labrador,Full-time employment,146.2
1976-06,Newfoundland and Labrador,Part-time employment,12.7
1976-06,Newfoundland and Labrador,Unemployment,23.6
1976-06,Newfoundland and Labrador,Unemployment rate,12.9
1976-06,Newfoundland and Labrador,Participation rate,49.3
1976-06,Newfoundland and Labrador,Employment rate,42.9
1976-06,Prince Edward Island,Population,82.8
1976-06,Prince Edward Island,Labour force,46.4
1976-06,Prince Edward Island,Employment,41.9
1976-06,Prince Edward Island,Full-time employment,36.0
1976-06,Prince Edward Island,Part-time employment,5.9
1976-06,Prince Edward Island,Unemployment,4.5
1976-06,Prince Edward Island,Unemployment rate,9.7
1976-06,Prince Edward Island,Participation rate,56.0
1976-06,Prince Edward Island,Employment rate,50.6
1976-06,Nova Scotia,Population,589.3
1976-06,Nova Scotia,Labour force,326.1
1976-06,Nova Scotia,Employment,294.9
1976-06,Nova Scotia,Full-time employment,254.3
1976-06,Nova Scotia,Part-time employment,40.6
1976-06,Nova Scotia,Unemployment,31.2
1976-06,Nova Scotia,Unemployment rate,9.6
1976-06,Nova Scotia,Participation rate,55.3
1976-06,Nova Scotia,Employment rate,50.0
1976-06,New Brunswick,Population,481.7
1976-06,New Brunswick,Labour force,259.9
1976-06,New Brunswick,Employment,231.4
1976-06,New Brunswick,Full-time employment,206.6
1976-06,New Brunswick,Part-time employment,24.8
1976-06,New Brunswick,Unemployment,28.5
1976-06,New Brunswick,Unemployment rate,11.0
1976-06,New Brunswick,Participation rate,54.0
1976-06,New Brunswick,Employment rate,48.0
1976-06,Quebec,Population,4737.2
1976-06,Quebec,Labour force,2782.4
1976-06,Quebec,Employment,2549.4
1976-06,Quebec,Full-time employment,2329.9
1976-06,Quebec,Part-time employment,219.6
1976-06,Quebec,Unemployment,232.9
1976-06,Quebec,Unemployment rate,8.4
1976-06,Quebec,Participation rate,58.7
1976-06,Quebec,Employment rate,53.8
1976-06,Ontario,Population,6200.0
1976-06,Ontario,Labour force,3976.6
1976-06,Ontario,Employment,3745.2
1976-06,Ontario,Full-time employment,3221.9
1976-06,Ontario,Part-time employment,523.3
1976-06,Ontario,Unemployment,231.4
1976-06,Ontario,Unemployment rate,5.8
1976-06,Ontario,Participation rate,64.1
1976-06,Ontario,Employment rate,60.4
1976-06,Manitoba,Population,737.2
1976-06,Manitoba,Labour force,455.6
1976-06,Manitoba,Employment,435.5
1976-06,Manitoba,Full-time employment,372.0
1976-06,Manitoba,Part-time employment,63.5
1976-06,Manitoba,Unemployment,20.1
1976-06,Manitoba,Unemployment rate,4.4
1976-06,Manitoba,Participation rate,61.8
1976-06,Manitoba,Employment rate,59.1
1976-06,Saskatchewan,Population,656.2
1976-06,Saskatchewan,Labour force,400.3
1976-06,Saskatchewan,Employment,384.0
1976-06,Saskatchewan,Full-time employment,326.9
1976-06,Saskatchewan,Part-time employment,57.1
1976-06,Saskatchewan,Unemployment,16.2
1976-06,Saskatchewan,Unemployment rate,4.0
1976-06,Saskatchewan,Participation rate,61.0
1976-06,Saskatchewan,Employment rate,58.5
1976-06,Alberta,Population,1318.0
1976-06,Alberta,Labour force,888.2
1976-06,Alberta,Employment,854.0
1976-06,Alberta,Full-time employment,733.6
1976-06,Alberta,Part-time employment,120.5
1976-06,Alberta,Unemployment,34.1
1976-06,Alberta,Unemployment rate,3.8
1976-06,Alberta,Participation rate,67.4
1976-06,Alberta,Employment rate,64.8
1976-06,British Columbia,Population,1874.0
1976-06,British Columbia,Labour force,1151.6
1976-06,British Columbia,Employment,1053.0
1976-06,British Columbia,Full-time employment,891.7
1976-06,British Columbia,Part-time employment,161.2
1976-06,British Columbia,Unemployment,98.6
1976-06,British Columbia,Unemployment rate,8.6
1976-06,British Columbia,Participation rate,61.5
1976-06,British Columbia,Employment rate,56.2
1976-07,Canada,Population,17085.5
1976-07,Canada,Labour force,10539.4
1976-07,Canada,Employment,9759.5
1976-07,Canada,Full-time employment,8544.4
1976-07,Canada,Part-time employment,1215.1
1976-07,Canada,Unemployment,779.9
1976-07,Canada,Unemployment rate,7.4
1976-07,Canada,Participation rate,61.7
1976-07,Canada,Employment rate,57.1
1976-07,Newfoundland and Labrador,Population,371.1
1976-07,Newfoundland and Labrador,Labour force,182.1
1976-07,Newfoundland and Labrador,Employment,155.7
1976-07,Newfoundland and Labrador,Full-time employment,143.3
1976-07,Newfoundland and Labrador,Part-time employment,12.4
1976-07,Newfoundland and Labrador,Unemployment,26.4
1976-07,Newfoundland and Labrador,Unemployment rate,14.5
