date,geography,indicator,value
2002-05,New Brunswick,Average weekly earnings including overtime for all employees,605.18
2002-05,Quebec,Average weekly earnings including overtime for all employees,638.68
2002-05,Ontario,Average weekly earnings including overtime for all employees,708.39
2002-05,Manitoba,Average weekly earnings including overtime for all employees,603.54
2002-05,Saskatchewan,Average weekly earnings including overtime for all employees,605.32
2002-05,Alberta,Average weekly earnings including overtime for all employees,687.77
2002-05,British Columbia,Average weekly earnings including overtime for all employees,668.92
2002-05,Yukon,Average weekly earnings including overtime for all employees,740.85
2002-05,Northwest Territories,Average weekly earnings including overtime for all employees,905.89
2002-05,Nunavut,Average weekly earnings including overtime for all employees,898.22
2002-06,Canada,Average weekly earnings including overtime for all employees,670.32
2002-06,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,604.95
2002-06,Prince Edward Island,Average weekly earnings including overtime for all employees,559.16
2002-06,Nova Scotia,Average weekly earnings including overtime for all employees,597.03
2002-06,New Brunswick,Average weekly earnings including overtime for all employees,604.85
2002-06,Quebec,Average weekly earnings including overtime for all employees,635.37
2002-06,Ontario,Average weekly earnings including overtime for all employees,708.94
2002-06,Manitoba,Average weekly earnings including overtime for all employees,602.69
2002-06,Saskatchewan,Average weekly earnings including overtime for all employees,605.27
2002-06,Alberta,Average weekly earnings including overtime for all employees,695.02
2002-06,British Columbia,Average weekly earnings including overtime for all employees,669.21
2002-06,Yukon,Average weekly earnings including overtime for all employees,752.23
2002-06,Northwest Territories,Average weekly earnings including overtime for all employees,909.85
2002-06,Nunavut,Average weekly earnings including overtime for all employees,881.07
2002-07,Canada,Average weekly earnings including overtime for all employees,677.47
2002-07,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,605.63
2002-07,Prince Edward Island,Average weekly earnings including overtime for all employees,558.14
2002-07,Nova Scotia,Average weekly earnings including overtime for all employees,603.57
2002-07,New Brunswick,Average weekly earnings including overtime for all employees,608.11
2002-07,Quebec,Average weekly earnings including overtime for all employees,641.4
2002-07,Ontario,Average weekly earnings including overtime for all employees,716.27
2002-07,Manitoba,Average weekly earnings including overtime for all employees,609.94
2002-07,Saskatchewan,Average weekly earnings including overtime for all employees,614.93
2002-07,Alberta,Average weekly earnings including overtime for all employees,695.72
2002-07,British Columbia,Average weekly earnings including overtime for all employees,674.17
2002-07,Yukon,Average weekly earnings including overtime for all employees,753.45
2002-07,Northwest Territories,Average weekly earnings including overtime for all employees,919.77
2002-07,Nunavut,Average weekly earnings including overtime for all employees,892.34
2002-08,Canada,Average weekly earnings including overtime for all employees,672.17
2002-08,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,606.68
2002-08,Prince Edward Island,Average weekly earnings including overtime for all employees,557.45
2002-08,Nova Scotia,Average weekly earnings including overtime for all employees,594.02
2002-08,New Brunswick,Average weekly earnings including overtime for all employees,604.13
2002-08,Quebec,Average weekly earnings including overtime for all employees,638.89
2002-08,Ontario,Average weekly earnings including overtime for all employees,712.09
2002-08,Manitoba,Average weekly earnings including overtime for all employees,603.87
2002-08,Saskatchewan,Average weekly earnings including overtime for all employees,607.65
2002-08,Alberta,Average weekly earnings including overtime for all employees,689.5
2002-08,British Columbia,Average weekly earnings including overtime for all employees,666.52
2002-08,Yukon,Average weekly earnings including overtime for all employees,723.63
2002-08,Northwest Territories,Average weekly earnings including overtime for all employees,904.31
2002-08,Nunavut,Average weekly earnings including overtime for all employees,884.91
2002-09,Canada,Average weekly earnings including overtime for all employees,674.17
2002-09,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,613.78
2002-09,Prince Edward Island,Average weekly earnings including overtime for all employees,554.46
2002-09,Nova Scotia,Average weekly earnings including overtime for all employees,594.99
2002-09,New Brunswick,Average weekly earnings including overtime for all employees,601.4
2002-09,Quebec,Average weekly earnings including overtime for all employees,637.58
