date,geography,indicator,value
1958-07,Alberta,Population,1211000
1958-07,British Columbia,Population,1540000
1958-07,Yukon,Population,13000
1958-07,Northwest Territories including Nunavut,Population,20000
1958-10,Canada,Population,17225000
1958-10,Newfoundland and Labrador,Population,435000
1958-10,Prince Edward Island,Population,101000
1958-10,Nova Scotia,Population,713000
1958-10,New Brunswick,Population,574000
1958-10,Quebec,Population,4947000
1958-10,Ontario,Population,5874000
1958-10,Manitoba,Population,881000
1958-10,Saskatchewan,Population,898000
1958-10,Alberta,Population,1221000
1958-10,British Columbia,Population,1548000
1958-10,Yukon,Population,13000
1958-10,Northwest Territories including Nunavut,Population,20000
1959-01,Canada,Population,17318000
1959-01,Newfoundland and Labrador,Population,437000
1959-01,Prince Edward Island,Population,101000
1959-01,Nova Scotia,Population,716000
1959-01,New Brunswick,Population,577000
1959-01,Quebec,Population,4974000
1959-01,Ontario,Population,5907000
1959-01,Manitoba,Population,883000
1959-01,Saskatchewan,Population,900000
1959-01,Alberta,Population,1233000
1959-01,British Columbia,Population,1556000
1959-01,Yukon,Population,13000
1959-01,Northwest Territories including Nunavut,Population,21000
1959-04,Canada,Population,17406000
1959-04,Newfoundland and Labrador,Population,439000
1959-04,Prince Edward Island,Population,101000
1959-04,Nova Scotia,Population,718000
1959-04,New Brunswick,Population,580000
1959-04,Quebec,Population,5002000
1959-04,Ontario,Population,5938000
1959-04,Manitoba,Population,888000
1959-04,Saskatchewan,Population,903000
1959-04,Alberta,Population,1241000
1959-04,British Columbia,Population,1562000
1959-04,Yukon,Population,13000
1959-04,Northwest Territories including Nunavut,Population,21000
1959-07,Canada,Population,17522000
1959-07,Newfoundland and Labrador,Population,441000
1959-07,Prince Edward Island,Population,102000
1959-07,Nova Scotia,Population,720000
1959-07,New Brunswick,Population,583000
1959-07,Quebec,Population,5035000
1959-07,Ontario,Population,5985000
1959-07,Manitoba,Population,892000
1959-07,Saskatchewan,Population,908000
1959-07,Alberta,Population,1252000
1959-07,British Columbia,Population,1570000
1959-07,Yukon,Population,13000
1959-07,Northwest Territories including Nunavut,Population,21000
1959-10,Canada,Population,17624000
1959-10,Newfoundland and Labrador,Population,443000
1959-10,Prince Edward Island,Population,102000
1959-10,Nova Scotia,Population,722000
1959-10,New Brunswick,Population,584000
1959-10,Quebec,Population,5068000
1959-10,Ontario,Population,6020000
1959-10,Manitoba,Population,896000
1959-10,Saskatchewan,Population,912000
1959-10,Alberta,Population,1263000
1959-10,British Columbia,Population,1580000
1959-10,Yukon,Population,13000
1959-10,Northwest Territories including Nunavut,Population,21000
1960-01,Canada,Population,17710000
1960-01,Newfoundland and Labrador,Population,445000
1960-01,Prince Edward Island,Population,103000
1960-01,Nova Scotia,Population,722000
1960-01,New Brunswick,Population,585000
1960-01,Quebec,Population,5092000
1960-01,Ontario,Population,6054000
1960-01,Manitoba,Population,900000
1960-01,Saskatchewan,Population,911000
1960-01,Alberta,Population,1274000
1960-01,British Columbia,Population,1589000
1960-01,Yukon,Population,14000
1960-01,Northwest Territories including Nunavut,Population,21000
1960-04,Canada,Population,17793000
1960-04,Newfoundland and Labrador,Population,447000
1960-04,Prince Edward Island,Population,103000
1960-04,Nova Scotia,Population,725000
1960-04,New Brunswick,Population,587000
1960-04,Quebec,Population,5119000
1960-04,Ontario,Population,6083000
1960-04,Manitoba,Population,903000
1960-04,Saskatchewan,Population,912000
1960-04,Alberta,Population,1282000
1960-04,British Columbia,Population,1596000
1960-04,Yukon,Population,14000
1960-04,Northwest Territories including Nunavut,Population,22000
1960-07,Canada,Population,17909000
1960-07,Newfoundland and Labrador,Population,449000
1960-07,Prince Edward Island,Population,103000
1960-07,Nova Scotia,Population,728000
1960-07,New Brunswick,Population,589000
1960-07,Quebec,Population,5152000
1960-07,Ontario,Population,6127000
1960-07,Manitoba,Population,908000
1960-07,Saskatchewan,Population,916000
1960-07,Alberta,Population,1296000
1960-07,British Columbia,Population,1605000
1960-07,Yukon,Population,14000
1960-07,Northwest Territories including Nunavut,Population,22000
1960-10,Canada,Population,18009000
1960-10,Newfoundland and Labrador,Population,452000
1960-10,Prince Edward Island,Population,104000
1960-10,Nova Scotia,Population,731000
1960-10,New Brunswick,Population,591000
1960-10,Quebec,Population,5187000
1960-10,Ontario,Population,6158000
1960-10,Manitoba,Population,911000
1960-10,Saskatchewan,Population,918000
1960-10,Alberta,Population,1307000
1960-10,British Columbia,Population,1614000
1960-10,Yukon,Population,14000
1960-10,Northwest Territories including Nunavut,Population,22000
1961-01,Canada,Population,18092000
1961-01,Newfoundland and Labrador,Population,454000
1961-01,Prince Edward Island,Population,104000
1961-01,Nova Scotia,Population,732000
1961-01,New Brunswick,Population,593000
1961-01,Quebec,Population,5212000
1961-01,Ontario,Population,6187000
1961-01,Manitoba,Population,916000
1961-01,Saskatchewan,Population,919000
1961-01,Alberta,Population,1317000
1961-01,British Columbia,Population,1621000
1961-01,Yukon,Population,14000
1961-01,Northwest Territories including Nunavut,Population,23000
1961-04,Canada,Population,18172000
1961-04,Newfoundland and Labrador,Population,456000
1961-04,Prince Edward Island,Population,104000
1961-04,Nova Scotia,Population,735000
1961-04,New Brunswick,Population,596000
1961-04,Quebec,Population,5238000
1961-04,Ontario,Population,6214000
1961-04,Manitoba,Population,919000
1961-04,Saskatchewan,Population,922000
1961-04,Alberta,Population,1325000
1961-04,British Columbia,Population,1626000
1961-04,Yukon,Population,14000
1961-04,Northwest Territories including Nunavut,Population,23000
1961-07,Canada,Population,18271000
1961-07,Newfoundland and Labrador,Population,459000
1961-07,Prince Edward Island,Population,105000
1961-07,Nova Scotia,Population,738000
1961-07,New Brunswick,Population,599000
1961-07,Quebec,Population,5268000
1961-07,Ontario,Population,6248000
1961-07,Manitoba,Population,923000
1961-07,Saskatchewan,Population,926000
1961-07,Alberta,Population,1335000
1961-07,British Columbia,Population,1632000
1961-07,Yukon,Population,15000
1961-07,Northwest Territories including Nunavut,Population,23000
1961-10,Canada,Population,18363000
1961-10,Newfoundland and Labrador,Population,462000
1961-10,Prince Edward Island,Population,106000
1961-10,Nova Scotia,Population,740000
1961-10,New Brunswick,Population,600000
1961-10,Quebec,Population,5300000
1961-10,Ontario,Population,6275000
1961-10,Manitoba,Population,927000
1961-10,Saskatchewan,Population,929000
1961-10,Alberta,Population,1345000
1961-10,British Columbia,Population,1640000
1961-10,Yukon,Population,15000
1961-10,Northwest Territories including Nunavut,Population,24000
1962-01,Canada,Population,18442000
1962-01,Newfoundland and Labrador,Population,464000
1962-01,Prince Edward Island,Population,107000
1962-01,Nova Scotia,Population,742000
1962-01,New Brunswick,Population,602000
1962-01,Quebec,Population,5324000
1962-01,Ontario,Population,6303000
1962-01,Manitoba,Population,930000
1962-01,Saskatchewan,Population,927000
1962-01,Alberta,Population,1356000
1962-01,British Columbia,Population,1648000
1962-01,Yukon,Population,15000
1962-01,Northwest Territories including Nunavut,Population,24000
1962-04,Canada,Population,18519000
1962-04,Newfoundland and Labrador,Population,466000
1962-04,Prince Edward Island,Population,107000
1962-04,Nova Scotia,Population,744000
1962-04,New Brunswick,Population,604000
1962-04,Quebec,Population,5350000
1962-04,Ontario,Population,6330000
1962-04,Manitoba,Population,933000
1962-04,Saskatchewan,Population,928000
1962-04,Alberta,Population,1363000
1962-04,British Columbia,Population,1655000
1962-04,Yukon,Population,15000
